"code","date","GPM","OPM","NIM","EBITDA","cash","account_receviable","inventory","fixed_asset","invest","liq_asset","liq_liability","leverage","revenue","mkt_value","GOR"
1102,200906,18.28,13.45,22.15,7949115,15263337,7451290,4054982,54900922,-3524931,39233228,28068063,46.95,22719269,101457000,0.1369
1102,200909,19.13,12.95,21.1,11852239,13708331,7685422,4594364,56970040,-7500136,32988195,20156219,44.91,35304780,107486000,0.1172
1102,200912,16.7,12.62,18.5,14859087,17838133,7867858,4311866,64029460,-11823224,36803070,26181870,46.21,48418125,103306000,0.1033
1102,201003,10.6,6.67,15.28,3248316,17683099,8000534,4504296,65581287,-2516001,37953958,27779212,47.32,11420299,92557000,0.121
1102,201006,9.86,5.86,15.79,6715651,15955407,8504118,5031881,66877312,-5360545,42445233,34768987,50.89,24202264,84794000,0.0653
1102,201009,8.56,4.89,14.67,9627682,5830557,10049066,5440743,69079374,-7900197,29744987,21836810,46.48,36648184,97948000,0.0381
1102,201012,11.68,7.95,15.52,14895992,7133402,11885500,5866157,66510047,-8673213,31980063,24482403,45.98,53814116,99178000,0.1114
1102,201103,15.27,11.59,18.38,4623726,8361717,13034449,6093870,66450820,-506022,34547010,22793261,45.13,14215322,101638000,0.2447
1102,201106,15.93,11.98,21.84,10961106,15701753,14153611,7163704,65245401,-861336,50316319,31678068,49.3,31372323,126087000,0.2963
1102,201109,15.3,11.72,19.81,15929757,17913545,17159347,6861413,68172546,-1930907,50973106,26913685,49.17,49076389,100221000,0.3391
1102,201112,16.1,12.5,17.88,20776577,17932709,18804209,6547497,73281723,-2720518,50949032,26353735,47.13,68499938,106651000,0.2729
1102,201203,8.36,4.68,13.18,3754139,16934488,16345508,7677135,71546441,-709545,49777974,30418628,46.03,13330740,112768000,-0.0622
1102,201206,7.87,4.53,14.37,8121726,19439926,16420780,7071881,71676015,-1608527,55419202,45030694,50.51,29903616,117473000,-0.0468
1102,201209,7.67,4.52,11.3,10955891,16796161,15867422,6372517,70625987,-2365251,49211298,42289781,48.26,46450432,119705000,-0.0535
1102,201212,8.87,5.69,10.86,14694953,15437142,15902804,6733555,70379773,-3889298,48883424,41256434,47.2,63878002,120674000,-0.0675
1102,201303,6.45,2.49,9.89,3185816,14912589,15797375,7667257,57667022,-1919725,57789464,54557931,41.17,13931550,117766000,0.0451
1102,201306,10.64,7.01,16.12,8940302,19077321,16471431,7433744,60451870,-4527504,71535086,69315658,45.38,31797803,119220000,0.0633
1102,201309,10.78,7.38,14.45,12853215,13255032,15358693,6620229,61788328,-6967026,57543204,65784356,42.2,49365444,123253000,0.0628
1102,201312,12.89,9.51,17.33,20494776,19184742,17467028,7863420,62481951,-8522673,65337233,61955511,41.75,69770702,127207000,0.0922
1102,201403,13.77,10.07,10.35,3639866,7387787,18525807,8482463,62784825,-1402773,59219582,58466591,40.15,16152296,125230000,0.1594
1102,201406,14.74,11.09,15.7,10265445,7918436,19201891,8508625,67356408,-1288476,62134910,62611733,44.19,37069910,134787000,0.1658
1102,201409,13.8,10.29,14.4,15039844,8000913,18997740,8843802,67653241,-2674915,57967112,60537507,42.36,56835692,130592000,0.1513
1102,201412,14.33,10.62,14.04,21329234,12739834,20154888,9416977,70586382,-4166990,70558875,64989203,42.82,77284183,131096000,0.1077
1102,201503,10.63,6.75,10.04,3713197,10953430,18470659,9759575,69163983,-892991,75530943,67410775,41.86,15206543,132272000,-0.0586
1102,201506,10.63,6.2,14.19,8835701,11887636,17863084,9422919,67967681,-1487505,63739987,74595444,44.08,31764659,122692000,-0.1431
1102,201509,10.04,5.81,8.97,10657076,20913228,17412337,8456608,68587151,-2270889,65456341,69800135,44.28,49113910,108238000,-0.1359
1102,201512,10.65,6.09,7.44,14104379,11024089,17147041,7318610,67264573,-3479729,52844285,65223927,42.66,66287480,92103000,-0.1423
1102,201603,7.66,4.53,1.49,2098106,10388866,14595460,7034327,65759665,-768689,48453008,58894214,42.86,13038960,98826000,-0.1425
1102,201606,12.35,8.8,5.27,5535093,7509140,14631648,6869715,63492994,-639034,44972783,61818500,42.91,28717438,93784000,-0.0959
1102,201609,12.84,9.16,6.13,8733709,5620949,14257669,6215531,60475826,-995178,41216329,51580408,41.59,43572935,92103000,-0.1128
1102,201612,14.09,10.23,7.68,13558345,7450006,14524858,6920598,58832486,-1250087,42148568,40857530,41.01,60376562,88574000,-0.0892
1102,201703,7.19,3.41,1.12,1915612,9575355,14086521,6704386,55331036,-285511,44074607,49363721,42.95,12469773,102860000,-0.0437
1102,201706,12.07,8.24,7.27,6066030,9800773,14580025,7297334,55206487,-498074,53104700,61225180,44.47,28574486,87733000,-0.005
1102,201709,13.15,9.26,9.55,10303684,7620224,16514884,7015558,54768931,-791010,47911706,53007414,41.51,44829906,90254000,0.0288
1102,201712,15.67,11.46,10.27,15448825,7739492,18266303,6572982,53738838,-1157324,50262702,53948167,40.99,64278042,94792000,0.0646
1103,200803,25.63,17.48,15.91,433828,5404226,914065,735489,9560603,-325327,11792973,3012556,34.42,1705809,18443000,-0.0117
1103,200806,21.61,12.72,9.69,609509,5581673,701621,810891,9861487,-640181,10794642,2623239,35.53,3173422,14546000,-0.3807
1103,200809,19.45,10.2,8.83,847585,5432732,894434,866718,10431841,-1018982,9705527,2503294,37.85,4624291,9534000,-0.5425
1103,200812,16.98,7.55,3.97,820147,5912316,792839,931298,10879994,-1433501,10471171,3698678,39.44,6226665,9254000,-0.4051
1103,200903,6.32,-3.38,-3.5,22969,5726586,728137,872577,10993316,-174797,10674235,3428005,39.38,1207645,9691000,-0.292
1103,200906,10.82,0.79,8.16,370199,5151318,722650,937137,10825822,-341090,10762381,2767746,37.14,2513144,10839000,-0.2081
1103,200909,10.36,-0.68,12.06,663195,5208377,570630,938295,11272388,-573299,11073740,4021985,37.17,3490769,12132000,-0.2451
1103,200912,10.83,-4.58,9.37,772231,4306610,506270,907315,11083079,-676265,11081929,2767743,36.63,4202418,12993000,-0.3251
1103,201003,13.7,-1.48,-9.09,93917,3939241,447724,907975,11021248,-45392,10367318,2435718,37.03,920700,11234000,-0.2376
1103,201006,9.22,-4.04,-8.17,79797,3091105,450301,881229,10984315,-97646,9687795,2839413,41.49,2012498,9978000,-0.1992
1103,201009,8.78,-2.57,6.72,616127,3322463,461021,928626,11543666,-824374,11162181,2834443,40.93,3219582,11093000,-0.0777
1103,201012,10.83,-1.64,9.17,948395,3142007,602959,1386182,11307731,-861013,11470515,2737827,39.56,4880669,12594000,0.1614
1103,201103,22.21,13.95,27.32,583825,2820364,519375,1479030,11186416,-3386,12043741,3662501,36.12,1355689,12301000,0.4725
1103,201106,26.15,16.17,27.48,1183323,3183570,497742,1527374,11139447,-50508,13125754,3418496,35.37,2722072,13253000,0.3526
1103,201109,21.41,12.38,6.21,804394,3458091,616068,1579411,11193096,-56123,12161020,4225459,40.59,3550917,11501000,0.1029
1103,201112,19.04,9.06,6.16,1085493,4353426,897458,1894242,11105306,-98196,12343843,4187980,40.41,5169912,8937000,0.0593
1103,201203,4.88,-2.93,20.68,390692,3783555,621038,1829764,11243480,-148382,12219082,3846465,39.07,1001971,10257000,-0.2609
1103,201206,4.9,-4.74,0.79,347151,4207351,871759,1701057,11199499,-204474,12626588,4128199,43.34,2338591,10219000,-0.1409
1103,201209,0.24,-10.65,-22.45,-226507,4359097,586942,1717637,10530231,-354072,12894122,2818489,44.76,3081251,11419000,-0.1323
1103,201212,3.99,-7.04,-14.73,11826,5379068,610243,958623,10528737,-496367,12993115,2922279,43.45,4644003,10759000,-0.1017
1103,201303,-6.49,-20.21,8.05,178155,3832676,534884,921566,3851001,-110790,12221392,2958234,43.42,741189,10215000,-0.2603
1103,201306,-1.57,-12.79,0.81,276144,3219939,605641,923011,3863220,-220527,11522945,3334434,43.79,1792335,11069000,-0.2336
1103,201309,-1.43,-12.75,7.05,618890,3114484,612729,967937,3811315,-247266,12068308,3960240,41.16,2738060,11264000,-0.1114
1103,201312,5.5,9.75,30.22,1915291,3294619,745685,1312784,3615676,-281069,13570784,3287960,35.58,4268305,12196000,-0.0809
1103,201403,5.73,-4.18,-3.36,97125,3291138,649807,1342103,3539998,-17771,12767191,4411382,36.91,1019429,12351000,0.3754
1103,201406,6.89,-6.07,0.61,304467,2525559,393380,1574644,3440667,-46769,12823227,6477182,43.86,1909502,12390000,0.0654
1103,201409,5.44,-7.35,6.79,639891,2868579,510375,1117994,3423294,-81123,12611511,6052018,43.56,2818004,11535000,0.0292
1103,201412,5.57,-6.57,1.37,580155,3163688,578836,1148184,3085890,-204870,12878015,3366245,42.73,3937686,10992000,-0.0775
1103,201503,-11.27,-27.67,-27.3,-73686,3152757,367799,1142911,2975333,-38363,12473368,3618876,42.76,671355,10720000,-0.3414
1103,201506,-5.92,-18.04,-4.8,261187,3544104,298375,1161759,2928776,-68456,12691630,3318057,44.99,1408790,9360000,-0.2622
1103,201509,-6.7,-20.47,-19.65,55136,1532288,226123,1192776,2737527,-84216,12540833,2670342,52.4,1957612,7807000,-0.3053
1103,201512,-3.81,14.47,7.55,764545,1829306,312513,1229687,2336208,-97396,10683575,1526371,48.7,2826519,7375000,-0.2822
1103,201603,-0.62,-16.86,-34.92,-69807,2196270,223383,1195874,2266830,-13882,10270628,1515478,47.85,541218,7313000,-0.1938
1103,201606,1.76,-11.17,-18.54,31391,1966432,267496,1156905,2201172,-63219,10066494,2884177,49.27,1361474,6469000,-0.0336
1103,201609,2.9,-9.27,-4.93,319729,2121020,219159,1063506,2156601,-132552,8638868,2134150,38.76,2104649,6973000,0.0751
1103,201612,3.04,-14.57,0.31,599862,2341044,375072,806951,2026241,-224487,9443483,1981486,39.48,3140190,6763000,0.111
1103,201703,22.15,4.06,-18.02,32427,1338589,248670,763887,1912432,-8060,8299482,1534639,35.03,598477,8561000,0.1058
1103,201706,16.82,-4.82,-8.06,175239,1012750,167247,806279,2945366,-20021,8190702,1801802,32.72,1058884,8406000,-0.2223
1103,201709,15.08,-6.18,-0.73,364519,1084896,556467,784429,2893155,-57374,8486539,1866524,31.94,1565230,9607000,-0.2563
1103,201712,13.47,-10.95,46.64,1539621,1803189,206738,713317,2852330,-118632,9106166,2317056,31.98,2095607,10343000,-0.3326
1104,200803,10.72,2.34,9.64,337765,999027,1924941,779237,6106738,-160289,5184427,2935454,37.12,2010755,13307000,-0.0425
1104,200806,8.79,0.12,5.85,549845,1121231,1903408,1041400,6403993,-483913,5764298,3666510,39.35,4188387,14230000,0.0736
1104,200809,6.32,-3.27,2.08,597955,685766,2151200,1076838,6801516,-982882,4692179,3574608,39.97,6297246,9481000,-0.1125
1104,200812,5.01,-4.47,0.62,701366,788211,2157970,883862,6949471,-1264338,4620651,4354032,40.8,8529136,7699000,0.0539
1104,200903,1.67,-10.05,-4.24,113929,1052612,1317920,867179,6815836,-155125,3996715,4245971,40.9,1491771,7910000,-0.2581
1104,200906,6.21,-5.19,8.54,533562,813701,1340988,721923,6676424,-212696,3762643,3111640,38.46,3100430,8997000,-0.2598
1104,200909,6.04,-4.44,4.66,598935,553664,1344621,713304,6839549,-511603,3333946,2817239,38.14,4675036,9662000,-0.2576
1104,200912,7.11,-2.15,10.37,1168797,756163,1474935,526404,6745569,-507290,3472416,1894717,37.57,6648078,10568000,-0.2205
1104,201003,3.38,-7.55,-8.05,-11230,726088,1238195,344565,6710896,-44394,3064912,1535610,35.23,1360971,9813000,-0.0877
1104,201006,7.6,-4.13,20.59,641257,252417,871535,221305,3527728,-88469,7202397,3809251,36.16,2027033,8273000,-0.3462
1104,201009,8.68,-1.71,32.7,1276417,246810,933240,244390,3649711,-212374,5007591,1554041,27.16,3090813,10356000,-0.3389
1104,201012,8.03,-2.84,28.68,1476835,428190,1043469,255070,3690104,-265165,4809067,1699063,26.86,4273903,11171000,-0.3571
1104,201103,8.05,0.52,11.03,156041,2658448,1032376,255456,3673936,-9472,4580393,1908609,25.29,1151800,11322000,-0.1537
1104,201106,8.5,0.95,4.24,197923,2483293,978757,237588,3663827,-70341,4557995,2104566,27.31,2330255,10990000,0.1496
1104,201109,8.39,0.82,7.73,402842,1407355,998462,189244,3749507,-124666,3339626,1300221,21.82,3505253,8696000,0.1341
1104,201112,7.41,-0.42,8.43,594083,823044,967498,326859,4050865,-286528,2296257,1230483,16.84,4696706,8031000,0.0989
1104,201203,8.44,0.91,12.67,180334,669336,1071778,278870,3997657,-79994,2301364,1123357,16.07,1152461,8665000,6e-04
1104,201206,7.96,-0.43,18.08,481473,672501,1010553,333760,4010763,-122394,2579581,1530550,18.37,2286817,7850000,-0.0186
1104,201209,8.14,-0.03,17.07,697589,361716,1101217,321693,4020044,-160986,2211234,1144714,16.15,3478931,8937000,-0.0075
1104,201212,7.45,-0.46,14.81,852262,352972,1209381,334456,4065239,-203026,2131034,1129661,16.02,4826334,9662000,0.0276
1104,201303,9.04,2.42,14.7,220404,298781,1093403,256004,5801894,-106433,2231669,1127396,16.21,1248072,10779000,0.083
1104,201306,8.11,1.76,21.11,611806,304381,1095374,307185,5822270,-127840,2672600,1787638,19.62,2465349,10296000,0.0781
1104,201309,8.7,1.76,20.18,887257,356502,1070847,348180,5838809,-214039,2322509,1519812,18.16,3760641,15399000,0.081
1104,201312,8.91,2.34,21.21,1291518,429215,1273698,340696,5846863,-272478,2631135,1700449,18.08,5276157,17059000,0.0932
1104,201403,9.83,3.43,17.46,288321,401545,1152948,305938,5853755,-49152,2536190,1648612,17.45,1379161,18448000,0.105
1104,201406,8.85,3.13,24.19,819274,325334,1245899,357157,5827167,-67353,2895786,2266967,20.36,2835547,17150000,0.1502
1104,201409,9.13,3.09,24.6,1227316,373266,1189645,313738,5759633,-93108,2502333,1885848,18.28,4242326,16415000,0.1281
1104,201412,9.35,3.07,23.79,1620646,396132,1286801,326165,5736238,-226200,2652681,2068617,18.49,5819904,15892000,0.1031
1104,201503,8.3,1.85,19.73,306462,295188,1087957,330309,5690994,-343834,2398494,2089370,18.29,1327430,18171000,-0.0375
1104,201506,8.43,1.9,23.91,745200,269261,1039530,317244,5684691,-460122,3505849,2710766,21.11,2558276,16600000,-0.0978
1104,201509,9.52,2.56,24.13,1099366,360821,985579,286257,5608698,-502501,2830347,2242017,19,3770779,12942000,-0.1112
1104,201512,10.41,3.36,26.78,1621516,395027,1121368,338241,5587635,-600661,3040355,2461629,19.88,5163751,14136000,-0.1127
1104,201603,10.44,2.86,31.02,380571,435873,937527,297115,5569962,-83315,2976457,2470844,19.06,1105803,14042000,-0.167
1104,201606,12.63,4.74,36.64,981378,348082,960863,300765,5700593,-247330,3362713,3151030,21.9,2325465,13759000,-0.091
1104,201609,13.51,5.3,35.75,1385814,230916,820208,314201,5723988,-384130,2650785,2514312,19.39,3362708,15578000,-0.1082
1104,201612,13.9,5.76,36.42,1916626,197262,1051615,309386,5718489,-413395,3644849,2569341,19.42,4622199,15642000,-0.1049
1104,201703,12.63,4.33,25.37,314869,302805,935271,248869,5803534,-113208,3710344,2573433,19.31,1100655,16943000,-0.0047
1104,201706,12.55,3.85,30.83,798580,257031,867790,302344,5872214,-196888,4208658,3311933,22.5,2159763,15927000,-0.0713
1104,201709,12.89,4.11,30.6,1159658,268885,928760,284428,5886846,-273942,3726077,2831441,20.45,3287855,15163000,-0.0223
1104,201712,12.21,3.41,31.54,1546607,192742,1012020,303136,5902802,-336484,3863038,2730633,19.19,4405376,1.5e+07,-0.0469
1108,200803,9.61,-0.3,8.15,235161,165787,1042904,3911460,3002598,-226071,5724787,3494908,53.67,1176581,5180000,-0.4006
1108,200806,9.69,0.33,3.91,313658,158769,937015,3912806,3190637,-432387,5695351,3628665,55.55,2356220,3942000,-0.0571
1108,200809,9.57,0.65,2.03,399472,209350,1000455,3851037,3270417,-620455,5788416,3743418,56.83,3474772,2408000,-0.1041
1108,200812,9.66,0.36,-0.8,387482,138689,903770,3797982,3378494,-854354,5546987,3689346,57.54,4471619,2428000,-0.0882
1108,200903,14.2,4.82,1.65,124437,78545,833033,3943329,3418661,-105105,5432320,3677680,56.99,830956,2493000,-0.2938
1108,200906,15.86,6.72,1.71,305340,93292,920962,3753708,3459905,-171574,5338760,3630916,56.35,1775952,2865000,-0.2463
1108,200909,15.34,6.54,2.29,472768,88629,844526,3760510,3397450,-240320,5266114,3581414,55.5,2737078,3379000,-0.2123
1108,200912,14.58,5.2,2.71,654293,130947,801317,3700851,3327620,-350665,5138244,3322712,53.47,3629802,3622000,-0.1883
1108,201003,7.49,-1.86,-3.9,87523,78175,767437,3706434,3253257,-28889,5124757,3218913,53.27,824510,3290000,-0.0078
1108,201006,5.63,-3.63,-5.19,167722,118265,719720,3752313,3184435,-46977,5157734,3331709,54.32,1656701,2869000,-0.0671
