,label,code,AUC
0,0,1603,0.875
0,0,1608,0.875
0,0,1612,0.875
0,0,1701,0.875
0,0,1714,0.875
0,0,1717,0.875
0,0,1725,0.875
0,0,1726,0.875
0,0,1727,0.875
0,0,1734,0.875
0,0,1802,0.875
0,0,1805,0.875
0,0,1806,0.875
0,0,1809,0.875
0,0,1902,0.875
0,0,1904,0.875
0,0,1905,0.875
0,0,2010,0.875
0,0,2024,0.875
0,0,2031,0.875
0,0,2032,0.875
0,0,2033,0.875
0,0,2034,0.875
0,0,2062,0.875
0,0,2101,0.875
0,0,2103,0.875
0,0,2106,0.875
0,0,2204,0.875
0,0,2303,0.875
0,0,2316,0.875
0,0,2324,0.875
0,0,2328,0.875
0,0,2348,0.875
0,0,2353,0.875
0,0,2354,0.875
0,0,2355,0.875
0,0,2357,0.875
0,0,2359,0.875
0,0,2363,0.875
0,0,2367,0.875
0,0,2373,0.875
0,0,2377,0.875
0,0,2387,0.875
0,0,2404,0.875
0,0,2419,0.875
0,0,2424,0.875
0,0,2431,0.875
0,0,2444,0.875
0,0,2448,0.875
0,0,2457,0.875
0,0,2471,0.875
0,0,2475,0.875
0,0,2476,0.875
0,0,2489,0.875
0,0,2493,0.875
0,0,2495,0.875
0,0,2496,0.875
0,0,2511,0.875
0,0,2528,0.875
0,0,2542,0.875
0,0,2545,0.875
0,0,2547,0.875
0,0,2601,0.875
0,0,2704,0.875
0,0,2706,0.875
0,0,2912,0.875
0,0,3017,0.875
0,0,3018,0.875
0,0,3026,0.875
0,0,3031,0.875
0,0,3035,0.875
0,0,3038,0.875
0,0,3040,0.875
0,0,3043,0.875
0,0,3049,0.875
0,0,3050,0.875
0,0,3090,0.875
0,0,3229,0.875
0,0,3266,0.875
0,0,3305,0.875
0,0,3311,0.875
0,0,3376,0.875
0,0,3406,0.875
0,0,3419,0.875
0,0,3481,0.875
0,0,3501,0.875
0,0,3518,0.875
0,0,3519,0.875
0,0,3535,0.875
0,0,4426,0.875
0,0,4904,0.875
0,0,4906,0.875
0,0,5007,0.875
0,0,5471,0.875
0,0,5515,0.875
0,0,5531,0.875
0,0,5533,0.875
0,0,5607,0.875
0,0,6117,0.875
0,0,6133,0.875
0,0,6152,0.875
0,0,6164,0.875
0,0,6183,0.875
0,0,6189,0.875
0,0,6191,0.875
0,0,6202,0.875
0,0,6213,0.875
0,0,6214,0.875
0,0,6224,0.875
0,0,6257,0.875
0,0,6269,0.875
0,0,6271,0.875
0,0,6278,0.875
0,0,6285,0.875
0,0,8070,0.875
0,0,8101,0.875
0,0,8131,0.875
0,0,8261,0.875
0,0,9907,0.875
0,0,9908,0.875
0,0,9919,0.875
0,0,9924,0.875
0,0,9927,0.875
0,0,9928,0.875
0,0,9929,0.875
0,0,9939,0.875
0,0,9944,0.875
0,0,9946,0.875
0,0,9958,0.875
0,0,1201,0.75
0,0,1217,0.75
0,0,1234,0.75
0,0,1235,0.75
0,0,1308,0.75
0,0,1312,0.75
0,0,1413,0.75
0,0,1417,0.75
0,0,1434,0.75
0,0,1467,0.75
0,0,1471,0.75
0,0,1525,0.75
0,0,1528,0.75
0,0,1531,0.75
0,0,1560,0.75
0,0,1609,0.75
0,0,1617,0.75
0,0,1710,0.75
0,0,1736,0.75
0,0,1810,0.75
0,0,2014,0.75
0,0,2022,0.75
0,0,2023,0.75
0,0,2029,0.75
0,0,2109,0.75
0,0,2317,0.75
0,0,2342,0.75
0,0,2358,0.75
0,0,2374,0.75
0,0,2376,0.75
0,0,2379,0.75
0,0,2383,0.75
0,0,2397,0.75
0,0,2415,0.75
0,0,2434,0.75
0,0,2438,0.75
0,0,2461,0.75
0,0,2477,0.75
0,0,2486,0.75
0,0,2492,0.75
0,0,2498,0.75
0,0,2501,0.75
0,0,2548,0.75
0,0,2605,0.75
0,0,2606,0.75
0,0,2612,0.75
0,0,2616,0.75
0,0,2904,0.75
0,0,2911,0.75
0,0,3005,0.75
0,0,3011,0.75
0,0,3013,0.75
0,0,3029,0.75
0,0,3030,0.75
0,0,3044,0.75
0,0,3046,0.75
0,0,3047,0.75
0,0,3380,0.75
0,0,3454,0.75
0,0,3532,0.75
0,0,4414,0.75
0,0,4722,0.75
0,0,4725,0.75
0,0,5519,0.75
0,0,5534,0.75
0,0,5706,0.75
0,0,6197,0.75
0,0,6215,0.75
0,0,6226,0.75
0,0,6243,0.75
0,0,6505,0.75
0,0,8033,0.75
0,0,8046,0.75
0,0,8103,0.75
0,0,8105,0.75
0,0,8163,0.75
0,0,8374,0.75
0,0,9911,0.75
0,0,9925,0.75
0,0,9943,0.75
0,0,9955,0.75
0,0,1210,0.625
0,0,1540,0.625
0,0,1704,0.625
0,0,2027,0.625
0,0,2371,0.625
0,0,2392,0.625
0,0,2906,0.625
0,0,3021,0.625
0,0,3383,0.625
0,0,5608,0.625
0,0,6141,0.625
0,0,6142,0.625
0,0,6155,0.625
0,0,6168,0.625
0,0,6184,0.625
0,0,8112,0.625
0,0,8210,0.625
0,0,9934,0.625
0,0,9942,0.625
0,0,1313,0.5
0,0,1720,0.5
0,0,2375,0.5
0,0,2399,0.5
0,0,2420,0.5
0,0,3034,0.5
0,0,8016,0.5
0,0,9935,0.5
0,0,1307,0.375
0,0,1615,0.375
0,0,1737,0.375
0,0,2417,0.375
0,0,6225,0.375
